RestaurantID,Cuisine,NumberOfReviews,Rating
bDsXyYwzk4I9_7l51D_gaA,Chinese,130,3.5
4OGtGzKP6fvRu7MfQMRSEQ,Chinese,10,3.5
Ece_DRuD1yQjRPJBAebRpw,Chinese,220,3
Jn7Wtek5_R12TKp2VUJuhw,Chinese,135,3.5
DNSFvZtdsqkaidmFSpm-Jw,Chinese,138,4
Myp2rEB3yEcdaZIRe0S3Ww,Chinese,119,3.5
Sj2StOWkhHIPE6_sS5RMCQ,Chinese,186,3
kyJ0CtJ2Lrid_YdZWobf7w,Chinese,199,3.5
2pnhIRBUw58PpN8CQEYiZA,Chinese,51,3.5
sMoKKcyUslHmHe0NmCYgfg,Chinese,202,4
LQ6x_oaOhRrlG9i8p-Fubw,Chinese,125,3.5
RoXFN-T1s6moM5smbY_5Gw,Chinese,443,3
xZ19F2iiWiA36LAS5PH_GA,Chinese,6,3.5
98SsKXNs37ohAQERZbBPJg,Chinese,55,3
Qwd4Tv-CqgO2Yl9zZgkKOQ,Chinese,246,3
s25mujxKWphsyFm0Ji1xYA,Chinese,293,3
UiBQ8Uyu4wfOtEM1Rr8ycA,Chinese,400,4
3W6S2wraTAj5y4Cd8eQvvw,Chinese,110,4
lKxmH-hQ6ezKbq4URKrd-Q,Chinese,273,4
XaEFFUabnbH8ZF7ccmSAlQ,Chinese,46,2.5
ZBuUVSietNeZ0sCD7Z7Hdg,Chinese,18,4
LqMHxKckcnSRWrJ6T_irnw,Chinese,66,3.5
K0qsGnFv-edPDqVBdLCocQ,Chinese,55,4
gcEMZjjqy5Ucnv_5Pv-q1g,Chinese,168,4
3uJAt1EHG0x9pz_c91AHuQ,Chinese,27,3.5
U74_3F7r3tMhd6dmTmDBxQ,Chinese,656,4
rtucksGJ2MebjJ0PqjIPaw,Chinese,55,3
QBhHq4eN7rtFzmDUciVL-Q,Chinese,113,3.5
1MqGlFP3b7H77fzUkJMKgw,Chinese,481,4
YigPOZxASGQX1IniEyCp8g,Chinese,137,3.5
