RestaurantID,Cuisine,Name,NumberOfReviews,Rating,Location,Coordinates
7ZQSMqWzvXMSetXnii2fBg,Chinese,Excellent Dumpling House,351,4,"{'address1': '165 W 23rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['165 W 23rd St', 'New York, NY 10011']}","{'latitude': 40.7440494396358, 'longitude': -73.995028194335}"
#NAME?,Chinese,Dim Sum Palace,123,4,"{'address1': '47 W 55th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['47 W 55th St', 'New York, NY 10019']}","{'latitude': 40.76259, 'longitude': -73.97681}"
lgS9lE0Y9FhzT68zCj5QCw,Chinese,Hunan Bistro,166,3.5,"{'address1': '96 3rd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['96 3rd Ave', 'New York, NY 10003']}","{'latitude': 40.73234, 'longitude': -73.9881}"
YdAtCf_13UK-uvXuOMrhNg,Chinese,Radiance,139,4,"{'address1': '208 E 50th St', 'address2': '', 'address3': '2nd & 3rd Ave', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['208 E 50th St', '2nd & 3rd Ave', 'New York, NY 10022']}","{'latitude': 40.7555779423723, 'longitude': -73.9703503944427}"
uiQ6p_3biJD5S4PrF58t_g,Chinese,Szechuan Gourmet,837,3.5,"{'address1': '21 W 39th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['21 W 39th St', 'New York, NY 10018']}","{'latitude': 40.75236, 'longitude': -73.98355}"
jwKPVep2qZYBUA6SLLQPvg,Chinese,Legend 72,174,3.5,"{'address1': '127 W 72nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['127 W 72nd St', 'New York, NY 10023']}","{'latitude': 40.77796, 'longitude': -73.9796901}"
I_Va7AZSHpEwX75S-3hHLQ,Chinese,Noodle Fun,118,4,"{'address1': '1744 1st Ave', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10128', 'country': 'US', 'state': 'NY', 'display_address': ['1744 1st Ave', 'New York, NY 10128']}","{'latitude': 40.7795333862305, 'longitude': -73.9470367431641}"
H1jops1lmuhrq9lP7lEGJQ,Chinese,Flor De Mayo,1045,4,"{'address1': '484 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['484 Amsterdam Ave', 'New York, NY 10024']}","{'latitude': 40.78609, 'longitude': -73.97658}"
LwEzFDBX-nUHYHgAddfaxA,Chinese,Szechuan Gourmet 56,318,3,"{'address1': '242 W 56th St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['242 W 56th St', 'New York, NY 10019']}","{'latitude': 40.765717, 'longitude': -73.9828671}"
#NAME?,Chinese,Chong Qing Xiao Mian II,23,4,"{'address1': '82 2nd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['82 2nd Ave', 'New York, NY 10003']}","{'latitude': 40.72645, 'longitude': -73.98884}"
Gd3_3mxOvj2xYiqysV8rbQ,Chinese,Xi'an Famous Foods,1457,4,"{'address1': '81 St Marks Pl', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['81 St Marks Pl', 'New York, NY 10003']}","{'latitude': 40.72782, 'longitude': -73.98551}"
LpVbI-E9C-CSp7WhU5h2Iw,Chinese,Fishmarket Restaurant,421,4.5,"{'address1': '111 South St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['111 South St', 'New York, NY 10038']}","{'latitude': 40.70717, 'longitude': -74.00192}"
wurhcLKXD4YJ5XfTxpbE5Q,Chinese,Grand Sichuan,387,3.5,"{'address1': '229 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['229 9th Ave', 'New York, NY 10001']}","{'latitude': 40.747413, 'longitude': -74.001052}"
R7EGjHWw0tNheY6-ahH8fQ,Chinese,Tuome,327,4.5,"{'address1': '536 E 5th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['536 E 5th St', 'New York, NY 10009']}","{'latitude': 40.72412482724, 'longitude': -73.9828906263924}"
MXstrG3HjF83LcxAd8OpTw,Chinese,New Li Yuan,46,4,"{'address1': '273 W 38th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['273 W 38th St', 'New York, NY 10018']}","{'latitude': 40.754589387013, 'longitude': -73.9912518276348}"
wDuf4Qz9qsC62amLZgWNJQ,Chinese,Little Alley,147,4,"{'address1': '550 3rd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['550 3rd Ave', 'New York, NY 10016']}","{'latitude': 40.74744, 'longitude': -73.97728}"
MdDj13LgIs0WdbIdiyqB7Q,Chinese,Pinch Chinese,165,4,"{'address1': '177 Prince St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['177 Prince St', 'New York, NY 10012']}","{'latitude': 40.72645, 'longitude': -74.0018}"
pBNMZp_tKCAfRNx7-ybcHQ,Chinese,Calle Dao - Chelsea,190,4.5,"{'address1': '461 W 23rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['461 W 23rd St', 'New York, NY 10011']}","{'latitude': 40.7476515, 'longitude': -74.0037312}"
kwqOmEwWJ0D9PyCdFGE3-g,Chinese,Xi'an Famous Foods,522,4,"{'address1': '14 E 34th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['14 E 34th St', 'New York, NY 10016']}","{'latitude': 40.747844, 'longitude': -73.983901}"
lSrdxUNxyMgh5YU903JUiw,Chinese,Ningbo Cafe,100,4,"{'address1': '21 S End Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10280', 'country': 'US', 'state': 'NY', 'display_address': ['21 S End Ave', 'New York, NY 10280']}","{'latitude': 40.708141, 'longitude': -74.017791}"
u5-S5ElOzXnavuZ2gFsCpg,Chinese,Manting,155,3.5,"{'address1': '150 W 49th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['150 W 49th St', 'New York, NY 10019']}","{'latitude': 40.7601476826859, 'longitude': -73.9829980954528}"
R26zweQ8-xoZS7iHkXQOvw,Chinese,Shanghai Asian Manor,1291,4,"{'address1': '21 Mott St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['21 Mott St', 'New York, NY 10013']}","{'latitude': 40.71441, 'longitude': -73.99902}"
WRPJeH3goSpj5ke3Pkrnfw,Chinese,Burp Bowl Cafe,140,4,"{'address1': '134 E 27th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['134 E 27th St', 'New York, NY 10010']}","{'latitude': 40.74183, 'longitude': -73.98271}"
1dFOF1HPaThSCsdiqR7DrA,Chinese,Land of Plenty,268,3.5,"{'address1': '204E 58th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['204E 58th St', 'New York, NY 10022']}","{'latitude': 40.76063, 'longitude': -73.96664}"
3kq1_dUIPrA6BFTuX-M6mw,Chinese,Jianbing Company,12,4.5,"{'address1': '600 11th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['600 11th Ave', 'New York, NY 10036']}","{'latitude': 40.76234, 'longitude': -73.99695}"
ynB8T3htx8s5V0YV8gVPGA,Chinese,21 Shanghai House,357,4,"{'address1': '21 Division St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['21 Division St', 'New York, NY 10002']}","{'latitude': 40.7140138244835, 'longitude': -73.9964454932541}"
_WXa2M3gz2Mi0ys3s88nDw,Chinese,La Salle Dumpling Room,147,4,"{'address1': '3141 Broadway', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['3141 Broadway', 'New York, NY 10027']}","{'latitude': 40.81403, 'longitude': -73.95983}"
scTDvJ2M2jDbb1ntVeIyxA,Chinese,Hao Noodle and Tea By Madam Zhu's Kitchen,343,3.5,"{'address1': '401 6th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['401 6th Ave', 'New York, NY 10014']}","{'latitude': 40.7334863190479, 'longitude': -73.9998929006093}"
